,cat_item,request,sys_updated_on,outcome,days_to_end
0,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:39,Closed Complete,18.85241898
1,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:39,Closed Complete,18.85241898
2,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:39,Closed Complete,18.85241898
3,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:40,Closed Complete,18.85240741
4,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:40,Closed Complete,18.85240741
5,40abdc16877b30d094f140490cbb351d,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:40,Closed Complete,18.85240741
6,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:41,Closed Complete,18.85239583
7,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:41,Closed Complete,18.85239583
8,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:42,Closed Complete,18.85238426
9,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 09:32:42,Closed Complete,18.85238426
10,da0a989e873b30d094f140490cbb3593,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 10:15:18,Closed Complete,18.82280093
11,8e4d445287b730d094f140490cbb35b4,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 10:19:34,Closed Complete,18.81983796
12,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 10:59:14,Closed Complete,18.79229167
13,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-03-02 12:03:02,Closed Complete,18.74798611
14,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 00:22:04,Closed Complete,18.23476852
15,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 00:22:11,Closed Complete,18.2346875
16,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 00:22:18,Closed Complete,18.23460648
17,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
18,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
19,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
20,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
21,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
22,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
23,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
24,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:16,Closed Complete,18.14574074
25,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:20,Closed Complete,18.14569444
26,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:20,Closed Complete,18.14569444
27,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:20,Closed Complete,18.14569444
28,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:20,Closed Complete,18.14569444
29,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:20,Closed Complete,18.14569444
30,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:25,Closed Complete,18.14563657
31,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 02:30:25,Closed Complete,18.14563657
32,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 04:58:12,Closed Complete,18.04300926
33,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 04:58:12,Closed Complete,18.04300926
34,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 04:58:12,Closed Complete,18.04300926
35,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 04:58:12,Closed Complete,18.04300926
36,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 05:13:34,Closed Complete,18.03233796
37,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 10:16:59,Closed Complete,17.82163194
38,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 10:16:59,Closed Complete,17.82163194
39,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 10:16:59,Closed Complete,17.82163194
40,8e4d445287b730d094f140490cbb35b4,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 14:39:04,Closed Complete,17.63962963
41,40abdc16877b30d094f140490cbb351d,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 16:25:27,Closed Complete,17.56575231
42,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-04-02 16:29:45,Closed Complete,17.5627662
43,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-05-02 08:03:47,Closed Complete,16.91413194
44,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-05-02 08:03:47,Closed Complete,16.91413194
45,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-05-02 08:03:47,Closed Complete,16.91413194
46,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-05-02 08:03:47,Closed Complete,16.91413194
47,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-05-02 08:03:47,Closed Complete,16.91413194
