,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
47,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-02-05 08:03:47,Closed Complete,,
48,40abdc16877b30d094f140490cbb351d,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 08:46:09,Closed Complete,,
49,40abdc16877b30d094f140490cbb351d,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 08:46:09,Closed Complete,,
50,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 09:07:26,Closed Complete,,
51,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 10:19:48,Closed Complete,,
52,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 10:19:48,Closed Complete,,
53,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 10:43:15,Closed Complete,,
54,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 11:18:17,Closed Complete,,
55,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 11:18:17,Closed Complete,,
56,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 11:21:37,Closed Complete,,
57,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-07 11:21:37,Closed Complete,,
58,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-02-08 11:43:06,Closed Complete,,
59,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-02-08 11:43:06,Closed Complete,,
60,da0a989e873b30d094f140490cbb3593,4bb53fbb87d901d05addc8490cbb354d,2022-02-08 12:12:15,Closed Complete,,
61,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-02-11 10:22:16,Closed Complete,,
62,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-02-14 10:54:48,Closed Complete,,
63,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-02-14 10:54:48,Closed Complete,,
64,8e4d445287b730d094f140490cbb35b4,4bb53fbb87d901d05addc8490cbb354d,2022-02-15 06:00:17,Closed Complete,,
65,8e4d445287b730d094f140490cbb35b4,4bb53fbb87d901d05addc8490cbb354d,2022-02-15 06:00:17,Closed Complete,,
66,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-02-15 06:00:17,Closed Complete,,
67,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-02-15 06:00:17,Closed Complete,,
